source,locality,city,bhk,price,price_unit,deposit,area_sqft,floor,total_floors,furnishing,url,scraped_locality,lat,lng,location_exact
squareyards,Peddar Road,Mumbai,3,375000,per_month,,1785,,,furnished,https://www.squareyards.com/rental-3-bhk-study-room-1785-sq-ft-apartment-in-vimla-mahal/10443996,Peddar Road,18.9728939316747,72.8090716723819,True
squareyards,Bandra West,Mumbai,4,400000,per_month,,1600,,,furnished,https://www.squareyards.com/rental-4-bhk-1600-sq-ft-apartment-in-bandra-west/10456833,Bandra West,19.05955960049545,72.82952886074781,True
squareyards,Powai,Mumbai,3,185000,per_month,,1365,,,semi-furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-1365-sq-ft-apartment-in-hiranandani-gardens-octavius/10521903,Powai,19.114579,72.912815,True
squareyards,Goregaon West,Mumbai,,350000,per_month,,3500,,,,https://www.squareyards.com/rental-3500-sq-ft-industrial-plot-in-virwani-industrial-estate/10481628,Goregaon West,,,False
squareyards,Malad East,Mumbai,2,27000,per_month,,455,,,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-455-sq-ft-apartment-in-malad-east/10515010,Malad East,19.0865579894721,72.8810664643325,True
squareyards,Jogeshwari West,Mumbai,3,120000,per_month,,1500,10,,semi-furnished,https://www.squareyards.com/rental-3-bhk-1500-sq-ft-apartment-in-lodha-bel-air/10408401,Jogeshwari West,19.142279,72.846198,True
squareyards,Bhandup West,Mumbai,2,45000,per_month,,630,,,semi-furnished,https://www.squareyards.com/rental-2-bhk-630-sq-ft-apartment-in-atul-horizon/10261590,Bhandup West,19.155035,72.941318,True
squareyards,Kumbharwada,Mumbai,2,35000,per_month,,532,5,,semi-furnished,https://www.squareyards.com/rental-2-bhk-pooja-room-532-sq-ft-apartment-in-aman-house/10484179,Kumbharwada,18.959038,72.827104,True
squareyards,Vikhroli West,Mumbai,2,65000,per_month,,750,12,24,semi-furnished,https://www.squareyards.com/rental-2-bhk-extra-room-750-sq-ft-apartment-in-ripl-aikya-roots/10513875,Vikhroli West,19.109105,72.923653,True
squareyards,Powai,Mumbai,1,55000,per_month,,425,6,14,unfurnished,https://www.squareyards.com/rental-1-bhk-425-sq-ft-apartment-in-lnt-veridian/10540016,Powai,19.121229,72.893097,True
squareyards,Govandi,Mumbai,5,56000,per_month,,777,12,23,furnished,https://www.squareyards.com/rental-1-5-bhk-777-sq-ft-apartment-in-mj-shah-centrio/10509433,Govandi,19.060419,72.914432,True
squareyards,Malad West,Mumbai,2,95000,per_month,,765,32,58,semi-furnished,https://www.squareyards.com/rental-2-bhk-store-room-765-sq-ft-apartment-in-sheth-auris-serenity-tower-2/10511753,Malad West,19.191779,72.835777,True
squareyards,Byculla,Mumbai,2,115000,per_month,,750,23,72,semi-furnished,https://www.squareyards.com/rental-2-bhk-750-sq-ft-apartment-in-piramal-aranya/10036494,Byculla,18.978219,72.840864,True
squareyards,Goregaon West,Mumbai,,99000,per_month,,800,,,furnished,https://www.squareyards.com/rental-800-sq-ft-office-space-in-corporate-arena/10488010,Goregaon West,,,False
squareyards,Ghatkopar East,Mumbai,2,50000,per_month,,550,12,16,semi-furnished,https://www.squareyards.com/rental-2-bhk-study-room-store-room-550-sq-ft-apartment-in-vaibhavlaxmi-east-syde/10492052,Ghatkopar East,19.088143,72.915071,True
squareyards,Powai,Mumbai,,65000,per_month,,650,12,,semi-furnished,https://www.squareyards.com/rental-650-sq-ft-apartment-in-hiranandani-regent-hill/10489030,Powai,19.116994,72.913059,True
squareyards,Byculla West,Mumbai,3,220000,per_month,,1450,45,,unfurnished,https://www.squareyards.com/rental-3-bhk-servant-room-1450-sq-ft-apartment-in-marathon-monte-south/10495688,Byculla West,18.973979,72.830296,True
squareyards,Borivali East,Mumbai,5,35000,per_month,,445,5,21,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-445-sq-ft-apartment-in-triumph-omkareshwar-chs/10483204,Borivali East,19.21938,72.85777,True
squareyards,Andheri East,Mumbai,2,70000,per_month,,700,,,furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-lok-yamuna/10498938,Andheri East,19.121292,72.884916,True
squareyards,Jogeshwari East,Mumbai,2,80000,per_month,,625,22,,unfurnished,https://www.squareyards.com/rental-2-bhk-625-sq-ft-apartment-in-avant-heritage/10542393,Jogeshwari East,19.138506,72.859044,True
squareyards,Bandra East,Mumbai,2,90000,per_month,,635,3,18,semi-furnished,https://www.squareyards.com/rental-2-bhk-635-sq-ft-apartment-in-gurukrupa-nirmalam/9897271,Bandra East,19.060602,72.845185,True
squareyards,Juhu,Mumbai,,285360,per_month,,807,,,furnished,https://www.squareyards.com/rental-807-sq-ft-office-space-in-juhu/9539970,Juhu,,,False
squareyards,Wadala East,Mumbai,1,55000,per_month,,353,10,23,furnished,https://www.squareyards.com/rental-1-bhk-353-sq-ft-apartment-in-ajmera-greenfinity/10543255,Wadala East,19.031484,72.881586,True
squareyards,Malad East,Mumbai,2,65000,per_month,,800,21,38,semi-furnished,https://www.squareyards.com/rental-2-bhk-servant-room-800-sq-ft-apartment-in-dynamix-divum/10262285,Malad East,19.178041,72.871778,True
squareyards,Malad East,Mumbai,1,35000,per_month,,400,2,,furnished,https://www.squareyards.com/rental-1-bhk-study-room-400-sq-ft-apartment-in-apna-ghar-chs/10484455,Malad East,19.177851,72.869853,True
squareyards,Mulund West,Mumbai,2,50000,per_month,,840,,,furnished,https://www.squareyards.com/rental-2-bhk-840-sq-ft-apartment-in-highland-park/10363563,Mulund West,19.169956,72.931871,True
squareyards,Goregaon West,Mumbai,2,140000,per_month,,650,12,,furnished,https://www.squareyards.com/rental-2-bhk-650-sq-ft-apartment-in-wadhwa-imperial-altitude/10527489,Goregaon West,19.163167,72.83922,True
squareyards,Sakinaka,Mumbai,3,100000,per_month,,924,12,13,semi-furnished,https://www.squareyards.com/rental-3-bhk-924-sq-ft-apartment-in-pride-panorama-mumbai/10510355,Sakinaka,19.097184,72.884744,True
squareyards,Worli,Mumbai,1,80000,per_month,,480,13,,unfurnished,https://www.squareyards.com/rental-1-bhk-prayer-room-480-sq-ft-apartment-in-adarsh-nagar-chs-worli/10534517,Worli,19.014238,72.823164,True
