source,locality,city,bhk,price,price_unit,area_sqft,floor,furnishing,url,scraped_locality,lat,lng,location_exact,floor_missing,rent_per_sqft,metro_km
squareyards,Malad East,Mumbai,2,75000.0,per_month,750,1.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-pooja-room-750-sq-ft-apartment-in-a-and-o-f-residences-malad-east/10435058,Malad East,19.190878,72.861307,True,0,100.0,4.87
squareyards,Kalbadevi,Mumbai,1,90000.0,per_month,850,2.0,furnished,https://www.squareyards.com/rental-1-bhk-850-sq-ft-builder-floor-in-kalbadevi/10536172,Kalbadevi,18.947451,72.828589,True,0,105.9,0.19
squareyards,Goregaon East,Mumbai,2,75000.0,per_month,680,3.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-680-sq-ft-apartment-in-rachaita-aarambh/10436521,Goregaon East,19.1744,72.8623,True,0,110.3,5.51
squareyards,Mulund West,Mumbai,2,65000.0,per_month,960,36.0,unfurnished,https://www.squareyards.com/rental-2-bhk-960-sq-ft-apartment-in-sheth-montana/10534200,Mulund West,19.170312,72.936647,True,0,67.7,3.21
squareyards,Borivali East,Mumbai,3,135000.0,per_month,1310,9.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-1310-sq-ft-apartment-in-oberoi-sky-city/10504452,Borivali East,19.222276,72.864019,True,1,103.1,1.38
squareyards,Malad West,Mumbai,6,700000.0,per_month,4500,9.0,furnished,https://www.squareyards.com/rental-4500-sq-ft-office-space-in-k-rahega-palm-springs/10525646,Malad West,,,False,1,155.6,
squareyards,Sion,Mumbai,1,55000.0,per_month,450,14.0,furnished,https://www.squareyards.com/rental-1-bhk-450-sq-ft-apartment-in-adityaraj-pride/10500721,Sion,19.039554,72.868765,True,0,122.2,1.25
squareyards,Goregaon East,Mumbai,1,32000.0,per_month,425,6.0,furnished,https://www.squareyards.com/rental-1-bhk-425-sq-ft-apartment-in-acme-apna-ghar/10516866,Goregaon East,19.178495,72.869884,True,0,75.3,5.85
squareyards,Wadala East,Mumbai,2,120000.0,per_month,766,30.0,furnished,https://www.squareyards.com/rental-2-bhk-servant-room-766-sq-ft-apartment-in-wadala-east/10536044,Wadala East,19.0865579894721,72.8810664643325,True,0,156.7,1.89
squareyards,Mulund West,Mumbai,3,100000.0,per_month,1050,7.0,unfurnished,https://www.squareyards.com/rental-3-bhk-study-room-1050-sq-ft-apartment-in-oberoi-eternia/10523410,Mulund West,19.1725,72.938806,True,0,95.2,2.89
squareyards,Mahim,Mumbai,2,35000.0,per_month,532,5.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-532-sq-ft-apartment-in-kanakia-miami/10538192,Mahim,19.043126,72.840376,True,0,65.8,0.54
squareyards,Mahim West,Mumbai,3,230000.0,per_month,1300,9.0,furnished,https://www.squareyards.com/rental-3-bhk-pooja-room-1300-sq-ft-apartment-in-citizen-apartment-mahim/10504097,Mahim West,19.03282,72.838,True,1,176.9,0.75
squareyards,Sandesh Nagar,Mumbai,5,140000.0,per_month,900,6.0,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-servant-room-900-sq-ft-apartment-in-sandesh-nagar/10487259,Sandesh Nagar,19.0865579894721,72.8810664643325,True,0,155.6,1.89
squareyards,Mulund East,Mumbai,1,35000.0,per_month,465,3.0,furnished,https://www.squareyards.com/rental-1-bhk-465-sq-ft-apartment-in-atharwa-chs/10460648,Mulund East,19.165732,72.953027,True,0,75.3,2.53
squareyards,Gundavali,Mumbai,6,900000.0,per_month,2550,9.0,furnished,https://www.squareyards.com/rental-2550-sq-ft-office-space-in-gundavali/10461447,Gundavali,,,False,1,352.9,
squareyards,Borivali East,Mumbai,1,60000.0,per_month,250,9.0,unfurnished,https://www.squareyards.com/rental-250-sq-ft-retail-shop-in-maheshwari-bhuwan/10275079,Borivali East,,,False,1,240.0,
squareyards,Ghatkopar West,Mumbai,2,55000.0,per_month,600,14.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-600-sq-ft-apartment-in-rockline-the-meridian-towers/10522273,Ghatkopar West,19.09653,72.914392,True,0,91.7,3.99
squareyards,Kandivali West,Mumbai,1,40000.0,per_month,430,4.0,furnished,https://www.squareyards.com/rental-1-bhk-430-sq-ft-apartment-in-bhoomi-shivam/10548756,Kandivali West,19.21618,72.83369,True,0,93.0,3.71
squareyards,Santacruz East,Mumbai,5,50000.0,per_month,704,3.0,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-store-room-704-sq-ft-apartment-in-suchita-chs/10539104,Santacruz East,19.07862,72.86566,True,0,71.0,1.95
squareyards,Chedda Nagar,Mumbai,2,65000.0,per_month,1000,5.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-servant-room-extra-room-store-room-1000-sq-ft-apartment-in-kutchi-sarvodaya-nagar/10535155,Chedda Nagar,19.06171833,72.91061102,True,0,65.0,1.44
squareyards,Worli,Mumbai,5,135000.0,per_month,1000,18.0,furnished,https://www.squareyards.com/rental-2-5-bhk-store-room-1000-sq-ft-apartment-in-amann-marina/10517234,Worli,19.01743,72.818638,True,0,135.0,0.98
squareyards,Andheri West,Mumbai,3,150000.0,per_month,1500,9.0,furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-servant-room-1500-sq-ft-apartment-in-andheri-chs/10538206,Andheri West,19.118765,72.841925,True,1,100.0,1.92
squareyards,Santacruz West,Mumbai,3,250000.0,per_month,1100,5.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-1100-sq-ft-apartment-in-santacruz-west/10541390,Santacruz West,19.082464,72.836957,True,0,227.3,1.12
squareyards,Andheri West,Mumbai,2,66000.0,per_month,752,1.0,unfurnished,https://www.squareyards.com/rental-2-bhk-752-sq-ft-apartment-in-andheri-west/10523860,Andheri West,19.0865579894721,72.8810664643325,True,0,87.8,1.89
squareyards,Andheri East,Mumbai,4,400000.0,per_month,2000,9.0,furnished,https://www.squareyards.com/rental-2000-sq-ft-office-space-in-akshay-chs-andheri-east/10422874,Andheri East,,,False,1,200.0,
squareyards,Powai,Mumbai,1,85000.0,per_month,520,9.0,semi-furnished,https://www.squareyards.com/rental-520-sq-ft-office-space-in-gateway-plaza/10477407,Powai,,,False,1,163.5,
squareyards,Mahalaxmi,Mumbai,2,200000.0,per_month,883,1.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-study-room-883-sq-ft-apartment-in-prestige-jasdan-classic/10523363,Mahalaxmi,18.982069,72.831475,True,0,226.5,0.7
squareyards,Malad East,Mumbai,2,65000.0,per_month,700,9.0,furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-swapnalok-towers/10542771,Malad East,19.17738,72.87081,True,1,92.9,5.72
squareyards,Mulund East,Mumbai,3,50000.0,per_month,790,9.0,unfurnished,https://www.squareyards.com/rental-3-bhk-prayer-room-servant-room-study-room-extra-room-store-room-790-sq-ft-apartment-in-mulund-east/10521822,Mulund East,19.0865579894721,72.8810664643325,True,1,63.3,1.89
squareyards,Mulund West,Mumbai,2,50000.0,per_month,1000,18.0,furnished,https://www.squareyards.com/rental-2-bhk-study-room-1000-sq-ft-apartment-in-mulund-west/10543436,Mulund West,19.0865579894721,72.8810664643325,True,0,50.0,1.89
squareyards,Malad West,Mumbai,1,48000.0,per_month,485,22.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-485-sq-ft-apartment-in-ajmera-boulevard/10449131,Malad West,19.191133,72.837761,True,0,99.0,5.52
squareyards,Chembur,Mumbai,3,111000.0,per_month,1225,6.0,furnished,https://www.squareyards.com/rental-3-bhk-1225-sq-ft-apartment-in-sabari-shikhar/10511140,Chembur,19.055757,72.895153,True,0,90.6,0.31
squareyards,Andheri West,Mumbai,3,90000.0,per_month,1500,5.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-1500-sq-ft-apartment-in-serenity-tower/10543771,Andheri West,19.129748,72.829156,True,0,60.0,3.73
squareyards,Sandesh Nagar,Mumbai,1,42000.0,per_month,265,4.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-extra-room-265-sq-ft-apartment-in-sandesh-nagar/10484165,Sandesh Nagar,19.0865579894721,72.8810664643325,True,0,158.5,1.89
squareyards,Marol,Mumbai,1,30000.0,per_month,300,9.0,furnished,https://www.squareyards.com/rental-300-sq-ft-pg-in-marol/10474503,Marol,19.1185099,72.8730234,True,1,100.0,0.14
squareyards,Sion,Mumbai,1,50000.0,per_month,450,2.0,furnished,https://www.squareyards.com/rental-1-bhk-450-sq-ft-apartment-in-unique-tower/10542651,Sion,19.052195,72.876823,True,0,111.1,0.73
squareyards,Peddar Road,Mumbai,3,375000.0,per_month,1785,9.0,furnished,https://www.squareyards.com/rental-3-bhk-study-room-1785-sq-ft-apartment-in-vimla-mahal/10443996,Peddar Road,18.9728939316747,72.8090716723819,True,1,210.1,1.31
squareyards,Bandra West,Mumbai,4,400000.0,per_month,1600,9.0,furnished,https://www.squareyards.com/rental-4-bhk-1600-sq-ft-apartment-in-bandra-west/10456833,Bandra West,19.05955960049545,72.82952886074781,True,1,250.0,2.38
squareyards,Powai,Mumbai,3,185000.0,per_month,1365,9.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-1365-sq-ft-apartment-in-hiranandani-gardens-octavius/10521903,Powai,19.114579,72.912815,True,1,135.5,3.66
squareyards,Goregaon West,Mumbai,6,350000.0,per_month,3500,9.0,,https://www.squareyards.com/rental-3500-sq-ft-industrial-plot-in-virwani-industrial-estate/10481628,Goregaon West,,,False,1,100.0,
squareyards,Malad East,Mumbai,2,27000.0,per_month,455,9.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-455-sq-ft-apartment-in-malad-east/10515010,Malad East,19.0865579894721,72.8810664643325,True,1,59.3,1.89
squareyards,Jogeshwari West,Mumbai,3,120000.0,per_month,1500,10.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-1500-sq-ft-apartment-in-lodha-bel-air/10408401,Jogeshwari West,19.142279,72.846198,True,0,80.0,3.41
squareyards,Bhandup West,Mumbai,2,45000.0,per_month,630,9.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-630-sq-ft-apartment-in-atul-horizon/10261590,Bhandup West,19.155035,72.941318,True,1,71.4,4.15
squareyards,Kumbharwada,Mumbai,2,35000.0,per_month,532,5.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-pooja-room-532-sq-ft-apartment-in-aman-house/10484179,Kumbharwada,18.959038,72.827104,True,0,65.8,0.93
squareyards,Vikhroli West,Mumbai,2,65000.0,per_month,750,12.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-extra-room-750-sq-ft-apartment-in-ripl-aikya-roots/10513875,Vikhroli West,19.109105,72.923653,True,0,86.7,4.74
squareyards,Powai,Mumbai,1,55000.0,per_month,425,6.0,unfurnished,https://www.squareyards.com/rental-1-bhk-425-sq-ft-apartment-in-lnt-veridian/10540016,Powai,19.121229,72.893097,True,0,129.4,2.08
squareyards,Govandi,Mumbai,5,56000.0,per_month,777,12.0,furnished,https://www.squareyards.com/rental-1-5-bhk-777-sq-ft-apartment-in-mj-shah-centrio/10509433,Govandi,19.060419,72.914432,True,0,72.1,1.59
squareyards,Malad West,Mumbai,2,95000.0,per_month,765,32.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-store-room-765-sq-ft-apartment-in-sheth-auris-serenity-tower-2/10511753,Malad West,19.191779,72.835777,True,0,124.2,5.56
squareyards,Byculla,Mumbai,2,115000.0,per_month,750,23.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-750-sq-ft-apartment-in-piramal-aranya/10036494,Byculla,18.978219,72.840864,True,0,153.3,1.63
squareyards,Goregaon West,Mumbai,2,99000.0,per_month,800,9.0,furnished,https://www.squareyards.com/rental-800-sq-ft-office-space-in-corporate-arena/10488010,Goregaon West,,,False,1,123.8,
squareyards,Ghatkopar East,Mumbai,2,50000.0,per_month,550,12.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-study-room-store-room-550-sq-ft-apartment-in-vaibhavlaxmi-east-syde/10492052,Ghatkopar East,19.088143,72.915071,True,0,90.9,4.28
squareyards,Powai,Mumbai,1,65000.0,per_month,650,12.0,semi-furnished,https://www.squareyards.com/rental-650-sq-ft-apartment-in-hiranandani-regent-hill/10489030,Powai,19.116994,72.913059,True,0,100.0,3.74
squareyards,Byculla West,Mumbai,3,220000.0,per_month,1450,45.0,unfurnished,https://www.squareyards.com/rental-3-bhk-servant-room-1450-sq-ft-apartment-in-marathon-monte-south/10495688,Byculla West,18.973979,72.830296,True,0,151.7,0.8
squareyards,Borivali East,Mumbai,5,35000.0,per_month,445,5.0,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-445-sq-ft-apartment-in-triumph-omkareshwar-chs/10483204,Borivali East,19.21938,72.85777,True,0,78.7,1.79
squareyards,Andheri East,Mumbai,2,70000.0,per_month,700,9.0,furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-lok-yamuna/10498938,Andheri East,19.121292,72.884916,True,1,100.0,1.27
squareyards,Jogeshwari East,Mumbai,2,80000.0,per_month,625,22.0,unfurnished,https://www.squareyards.com/rental-2-bhk-625-sq-ft-apartment-in-avant-heritage/10542393,Jogeshwari East,19.138506,72.859044,True,0,128.0,2.08
squareyards,Bandra East,Mumbai,2,90000.0,per_month,635,3.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-635-sq-ft-apartment-in-gurukrupa-nirmalam/9897271,Bandra East,19.060602,72.845185,True,0,141.7,1.0
squareyards,Juhu,Mumbai,2,285360.0,per_month,807,9.0,furnished,https://www.squareyards.com/rental-807-sq-ft-office-space-in-juhu/9539970,Juhu,,,False,1,353.6,
squareyards,Wadala East,Mumbai,1,55000.0,per_month,353,10.0,furnished,https://www.squareyards.com/rental-1-bhk-353-sq-ft-apartment-in-ajmera-greenfinity/10543255,Wadala East,19.031484,72.881586,True,0,155.8,1.62
squareyards,Malad East,Mumbai,2,65000.0,per_month,800,21.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-servant-room-800-sq-ft-apartment-in-dynamix-divum/10262285,Malad East,19.178041,72.871778,True,0,81.2,5.79
squareyards,Malad East,Mumbai,1,35000.0,per_month,400,2.0,furnished,https://www.squareyards.com/rental-1-bhk-study-room-400-sq-ft-apartment-in-apna-ghar-chs/10484455,Malad East,19.177851,72.869853,True,0,87.5,5.78
squareyards,Mulund West,Mumbai,2,50000.0,per_month,840,9.0,furnished,https://www.squareyards.com/rental-2-bhk-840-sq-ft-apartment-in-highland-park/10363563,Mulund West,19.169956,72.931871,True,1,59.5,3.65
